,precision,recall,f1-score,support
Bacterial Blight,0.8433734939759037,0.84,0.8416833667334669,250.0
Curl Virus,0.9099307159353349,0.91415313225058,0.9120370370370371,431.0
Healthy Leaf,0.88,0.9416342412451362,0.9097744360902256,257.0
Herbicide Growth Damage,0.9928825622775801,0.9964285714285714,0.9946524064171123,280.0
Leaf Hopper Jassids,0.7864583333333334,0.6711111111111111,0.7242206235011991,225.0
Leaf Redding,0.8447412353923205,0.8754325259515571,0.8598130841121495,578.0
Leaf Variegation,1.0,0.9310344827586207,0.9642857142857143,116.0
accuracy,0.8844174075807206,0.8844174075807206,0.8844174075807206,0.8844174075807206
macro avg,0.8939123344163532,0.8813991521065109,0.8866380954538435,2137.0
weighted avg,0.8836706544485676,0.8844174075807206,0.8832953927375031,2137.0
